(I5,2X,I5,2X,I5)                  
41683  99999     25       
(I5,2X,I5,2X,F5.1)                                                      
41683  42048   12.0         1973,01,01 --- 1974,01,01
42048  42413   13.0         1974,01,01 --- 1975,01,01
42413  42778   14.0         1975,01,01 --- 1976,01,01
42778  43144   15.0         1976,01,01 --- 1977,01,01
43144  43509   16.0         1977,01,01 --- 1978,01,01
43509  43874   17.0         1978,01,01 --- 1979,01,01
43874  44239   18.0         1979,01,01 --- 1980,01,01
44239  44786   19.0         1980,01,01 --- 1981,07,01
44786  45151   20.0         1981,07,01 --- 1982,07,01
45151  45516   21.0         1982,07,01 --- 1983,07,01
45516  46247   22.0         1983,07,01 --- 1985,07,01
46247  47161   23.0         1985,07,01 --- 1988,01,01
47161  47892   24.0         1988,01,01 --- 1990,01,01
47892  48257   25.0         1990,01,01 --- 1991,01,01
48257  48804   26.0         1991,01,01 --- 1992,07,01
48804  49169   27.0         1992,07,01 --- 1993,07,01
49169  49534   28.0         1993,07,01 --- 1994,07,01
49534  50083   29.0         1994,07,01 --- 1996,01,01
50083  50630   30.0         1996,01,01 --- 1997,07,01
50630  51179   31.0         1997,07,01 --- 1999,01,01
51179  53736   32.0         1999,01,01 --- 2006,01,01     
53736  54832   33.0         2006,01,01 --- 2009,01,01
54832  56109   34.0         2009,01,01 --- 2012,07,01
56109  99999   35.0         2012,01,01 --- 2222,12,31
          
